,size,train_scores,test_scores,combs
848,5,0.6996667835847071,0.7038,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'EducationType', 'Income')"
849,5,0.7055419151175026,0.7178,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'EducationType', 'AgeBracket')"
850,5,0.7058926692388635,0.7222,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'EducationType', 'ChildrenFlag')"
851,5,0.7011574886004911,0.71,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Country', 'Income')"
852,5,0.7051911609961417,0.7172,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Country', 'AgeBracket')"
853,5,0.7055419151175026,0.7178,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Country', 'ChildrenFlag')"
854,5,0.7122062434233603,0.7202,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Income', 'AgeBracket')"
855,5,0.692037881445107,0.6972,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Income', 'ChildrenFlag')"
856,5,0.7136969484391441,0.7274,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'AgeBracket', 'ChildrenFlag')"
857,5,0.700017537706068,0.7014,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married', 'JobType')"
858,5,0.701508242721852,0.7074,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married', 'EducationType')"
859,5,0.6975622588565416,0.7034,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married', 'Country')"
860,5,0.7144861452122062,0.7146,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married', 'Income')"
861,5,0.6956331111890565,0.6984,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married', 'AgeBracket')"
862,5,0.6966853735531392,0.7018,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married', 'ChildrenFlag')"
